Id, Title, Brand, Image, Price 
115,Dell Latitude 5580 15.6" FHD QC i7-7820HQ 2.9GHz 16GB DDR4 0-512GB Windows 10,Dell,https://i.ebayimg.com/thumbs/images/m/mND-UkjAKw5MOHHdIDyF1ww/s-l225.jpg,$764.99  
116,HP EliteBook x360 1020 G2 | Intel Core i5-7200U | 8GB RAM | 256GB SSD | 2UE38UT,HP,https://i.ebayimg.com/thumbs/images/g/QKMAAOSwaCVcltF2/s-l225.jpg,$589.00 
117,Dell Inspiron 15 5000 15.6" Core i5-7300HQ 2.50GHz 8GB RAM 256GB SSD 1TB HDD ,Dell,https://i.ebayimg.com/thumbs/images/g/bgwAAOSwMnZc0LMt/s-l225.jpg,$579.00 
118,Lenovo ideapad 320 15.6" Laptop, Windows 10, Intel Celeron N3350 Dual-Core Proce,Lenovo,https://i.ebayimg.com/thumbs/images/m/m5IVJjRhNbfqkhiU7HdPg1g/s-l225.jpg,$455.99  
119,Dell Latitude E6230 Laptop Intel Core i5 3340M @ 2.70GHz 500GB 4GB HDMI Win10,Dell,https://i.ebayimg.com/thumbs/images/g/cSIAAOSw6idc0IYZ/s-l225.jpg,$109.95 
120,Super Fast HP EliteBook 850 G2 Core i7 2.4GHz / 16GB / 480GB SSD /Win 10 x64 Pro,HP,https://i.ebayimg.com/thumbs/images/g/y0wAAOSwWz5b-Pq6/s-l225.jpg,$479.00 
121,HP ZBook 15 G4 | Laptop | Intel Xeon E3-1505M v6| 16GB RAM | 512 GB SSD | 1JD3,HP,https://i.ebayimg.com/thumbs/images/g/jW8AAOSw5LRchnG8/s-l225.jpg,$1,099.00 
122,Dell i5565-A973GRY-PUS 15.6" AMD A12-9700P 2.5GHz 12 GB RAM,1TB HDD,Grey,Dell,https://i.ebayimg.com/thumbs/images/g/pfAAAOSwDEBb9JsA/s-l225.jpg,$399.99 
123,Dell Latitude E5570 15.6" FHD i7-6820HQ 2.7GHz 8-16GB 0-1TB R7 M370 Windows 10 ,Dell,https://i.ebayimg.com/thumbs/images/m/mxs57RT3yeeu-qP0ySrWieg/s-l225.jpg,$669.99  
124,Dell Latitude 14 Rugged Touchscreen Laptop Core i7 8GB RAM 256GB SSD 4G Win 10,Dell,https://i.ebayimg.com/thumbs/images/g/7OUAAOSwDXFc0E4w/s-l225.jpg,$599.00 
125,Dell E5440 14" Laptop | i5-4310U | 16GB RAM | 256GB SSD | Win 10 Pro |NVIDIA ,Dell,https://i.ebayimg.com/thumbs/images/g/30kAAOSw78xc0Sbz/s-l225.jpg,$211.77 
